name,year
"""Besy"" (2006)",2006
"""Besy"" (2014)",2014
"""Bez antrakta"" (1997)",1997
"""Bez bashni"" (2012)",2012
"""Bez prava na vybor"" (2013)",2013
"""Bez pravil"" (2011)",2011
"""Bez sleda"" (2012)",2012
"""Bez sroka davnosti"" (2012)",2012
"""Bez svideteley"" (2012)",2012
"""Bez svideteley"" (2012) {(#1.1)}",2012
"""Bezdna"" (2013)",2013
"""Bezhat"" (2011)",2011
"""Bezmolvnyy svidetel 3"" (2009)",2009
"""Bezmolvnyy svidetel"" (2008)",2008
"""Bienie serdtsa"" (2011)",2011
"""Bigabum Lottery TV Show"" (2011)",2011
"""Bigl"" (2012)",2012
"""Bilet na dvoikh"" (2013)",2013
"""Bilet v garem"" (2006)",2006
"""Biryuk"" (2014)",2014
"""Bitva ekstrasensov"" (2007)",2007
"""Bitva tsivilizatsiy"" (2013)",2013
"""Bitva za sever"" (2010)",2010
"""Biznes po-russki"" (2010)",2010
"""Blindazh"" (2012)",2012
"""Bliznetsy"" (2004)",2004
"""Blokbastery"" (2014)",2014
"""Bludnye deti"" (2009)",2009
"""Blyustiteli poroka"" (2000)",2000
"""Boets"" (2004)",2004
"""Boets: Rozhdenie legendy"" (2008)",2008
"""Bogatstvo"" (2004)",2004
"""Bogatye i znamenitye"" (2012)",2012
"""Bogini provaosudiya"" (2011)",2011
"""Boginya praym-tayma"" (2006)",2006
"""Bol'shaya raznitsa"" (2008)",2008
"""Bolshaya igra"" (2008)",2008
"""Bolshaya neft"" (2009)",2009
"""Bolshaya progulka"" (2005)",2005
"""Bolshie devochki"" (2006)",2006
"""Bolshie roditeli"" (1999)",1999
"""Bolshoy brat"" (2005)",2005
"""Bolshoy den'"" (2007)",2007
"""Bolshoy dzhaz"" (2015)",2015
"""Bolshoy sekret dlya malenkoy kompanii"" (2001)",2001
"""Bolshoy vopros"" (2014)",2014
"""Bombila"" (2011)",2011
"""Bombila. Prodolzhenie"" (2013)",2013
"""Born in the USSR"" (1991)",1991
"""Born in the USSR"" (1991) {Born in the USSR: 28 Up (#1.4)}",1991
"""Boyaka mukhi ne obidit"" (1993)",1993
"""Brachnyy kontrakt"" (2009)",2009
"""Brak po zaveschaniyu. Tantsi na uglyah"" (2013)",2013
"""Brak po zaveshaniyu. Vozvrashenie Sandry"" (2011)",2011
"""Brak po zaveshchaniyu"" (2010)",2010
"""Brat i sestra"" (2012)",2012
"""Brat za brata 2"" (2012)",2012
"""Brat za brata 3"" (2014)",2014
"""Bratany 2"" (2010)",2010
"""Bratany 3"" (2012)",2012
"""Bratany 4"" (2013)",2013
"""Bratany"" (2009)",2009
"""Bratstvo desanta"" (2012)",2012
"""Bratva"" (2005)",2005
"""Bratya Karamazovy"" (2009)",2009
"""Bratya piloty"" (1995)",1995
"""Bratya po obmenu"" (2013)",2013
"""Bratya po-raznomu"" (2006)",2006
"""Bratya"" (2011)",2011
"""Brezhnev"" (2005)",2005
"""Brigada"" (2002)",2002
"""Brigada"" (2002) {1 seriya (#1.1)}",2002
"""Brigada"" (2002) {4 seriya (#1.4)}",2002
"""Brodvey moey yunosti"" (1996)",1996
"""Brodvey. Istoriya v litsakh i tantsakh"" (2015)",2015
"""Broken Silence"" (2002)",2002
"""Brony-Ponies"" (2015)",2015
"""Bronya Rossii"" (2009)",2009
"""Bronyahi"" (2016)",2016
"""Bronylogy"" (2014)",2014
"""Bubbles"" (2014)",2014
"""Budet svetlym den"" (2013)",2013
"""Buhanki"" (2016)",2016
"""Bukhta strakha"" (2008)",2008
"""Bumerang iz proshlogo"" (2010)",2010
"""Bunker ili Uchenye pod zemley"" (2006)",2006
"""Burovaya"" (2002)",2002
"""Byk i Shpindel"" (2015)",2015
"""Byl by povod"" (2014)",2014
"""Byla lyubov"" (2010)",2010
"""Byla tebe lyubimaya"" (2011)",2011
"""Byvaet zhe takoe!"" (2012)",2012
"""Byvshaya zhena"" (2013)",2013
"""Byvshie"" (2012)",2012
"""CARenina"" (2005)",2005
"""ChS [Chrezvychaynaya situatsiya]"" (2012)",2012
"""Chao, Federiko!"" (2014)",2014
"""Chapay"" (2013)",2013
"""Chas Sycha"" (2015)",2015
"""Chas Volkova"" (2007)",2007
"""Chastniy detektiv Tatyana Ivanova"" (2014)",2014
"""Chastniy detektive"" (2005)",2005
"""Chasy lubvi"" (2011)",2011
"""Chay, kofe, potantsuem..."" (2006)",2006
"""Chekhov i ko"" (1998)",1998
"""Chelovecheskiy faktor"" (2014)",2014
"""Chelovek bez proshlogo"" (2015)",2015
"""Chelovek niotkuda"" (2012)",2012
"""Chelovek v kadre"" (2007)",2007
"""Chelovek voyny"" (2005)",2005
"""Chelovek-amfibiya"" (2004)",2004
"""Chelovek-nevidimka"" (2013)",2013
"""Chelovek-primanka"" (2014)",2014
"""Chempion"" (2008)",2008
"""Chempionki"" (2012)",2012
"""Cherchill"" (2010)",2010
"""Cherepashki Megablog"" (2016)",2016
"""Cherkizona. Odnorazovye lyudi"" (2010)",2010
"""Chernaya boginya"" (2005)",2005
"""Chernaya reka"" (2014)",2014
"""Cherniy kvadrat"" (2010)",2010
"""Cherniy sneg dva"" (2008)",2008
"""Chernobyl: Zona otchuzhdeniya"" (2014)",2014
"""Chernye volki"" (2011)",2011
"""Cherta"" (2014)",2014
"""Chest imeyu!.."" (2004)",2004
"""Chetyre Lyubovi"" (2004)",2004
"""Chetyrnadtsatye soldaty"" (2008)",2008
"""China, China!"" (2012)",2012
"""Chista voda u istoka"" (2014)",2014
