n_rates,rating,name,year
5,6.8,"""Gospoda-tovarishchi"" (2014)",2014.0
26,7.3,"""Goznak"" (2015)",2015.0
5,7.2,"""Grach"" (2012)",2012.0
164,8.2,"""Grafinya de Monsoro"" (1998)",1998.0
333,7.4,"""Granitsa. Tayozhnyy roman"" (2001)",2001.0
21,6.5,"""Grazhdanin nachalnik"" (2001)",2001.0
10,4.9,"""Grekhi ottsov"" (2004)",2004.0
40,7.6,"""Grigoriy R."" (2014)",2014.0
21,7.7,"""Gromovy"" (2006)",2006.0
6,7.0,"""Gromovy. Dom nadezhdy"" (2007)",2007.0
606,7.8,"""Grozovye vorota"" (2006)",2006.0
11,5.9,"""Gruppa 'Zeta'"" (2007)",2007.0
5,4.2,"""Gunanoydy v Korolyove"" (2008)",2008.0
7,1.0,"""Hallowinskie vzlomy"" (2015)",2015.0
11,6.9,"""Hermitage Masterpieces"" (1992)",1992.0
5,7.8,"""HeyIamHiggins"" (2014)",2014.0
6,5.8,"""High School Students"" (2006)",2006.0
35,8.2,"""Hotel Eleon"" (2016)",2016.0
60,7.2,"""I vse-taki ya lyublyu..."" (2008)",2008.0
14,7.3,"""Idealnaya para"" (2001)",2001.0
1379,8.6,"""Idiot"" (2003)",2003.0
14,6.0,"""Igra na vybyvanie"" (2004)",2004.0
14,9.0,"""Igra"" (2011)",2011.0
13,6.8,"""Ikh Italiya"" (2012)",2012.0
12,6.4,"""Illuminati confirmed"" (2016)",2016.0
64,7.1,"""Imperiya pod udarom"" (2000)",2000.0
9,2.7,"""In the World of the Fairies"" (2016)",2016.0
6,7.7,"""Indus"" (2010)",2010.0
5,5.4,"""Inkvizitor"" (2014)",2014.0
5,9.0,"""Institut blagorodnykh devits"" (2010)",2010.0
8,8.9,"""Intercept"" (1998)",1998.0
2002,7.7,"""Interny"" (2010)",2010.0
121,6.9,"""Isaev"" (2009)",2009.0
21,7.0,"""Ischeznuvshie"" (2009)",2009.0
13,5.6,"""Istoriya Letchika"" (2009)",2009.0
31,7.5,"""Istrebiteli"" (2013)",2013.0
5,4.0,"""Istselenie lyubovyu"" (2005)",2005.0
23,7.3,"""Ivan Groznyy"" (2009)",2009.0
5,4.8,"""Ivan Podushkin. Dzhentlmen syska"" (2006)",2006.0
231,7.5,"""Izmeni"" (2015)",2015.0
24,6.0,"""KGB v smokinge"" (2005)",2005.0
98,5.2,"""Kadetstvo"" (2006)",2006.0
16,3.5,"""Kadety"" (2004)",2004.0
147,7.0,"""Kak ya stal russkim"" (2015)",2015.0
23,1.3,"""Kak ya vstretil vashu mamu"" (2010)",2010.0
5,3.8,"""Kamenskaya chetyre"" (2005)",2005.0
8,4.6,"""Kamenskaya shest"" (2011)",2011.0
41,6.4,"""Kamenskaya: Illyuziya grekha"" (2003)",2003.0
74,6.3,"""Kamenskaya: Stechenie obstoyatelstv"" (1999)",1999.0
29,5.7,"""Kamenskaya: Ukradennyy son"" (2002)",2002.0
47,3.0,"""Karmelita"" (2005)",2005.0
23,2.1,"""Karmelita. Tsyganskaya strast"" (2009)",2009.0
9,8.6,"""Karpov 2"" (2013)",2013.0
8,8.9,"""Karpov 3"" (2014)",2014.0
24,8.0,"""Karpov"" (2012)",2012.0
16,5.5,"""Karusel"" (2005)",2005.0
8,4.4,"""Katerina"" (2007)",2007.0
18,6.5,"""Katya"" (2009)",2009.0
24,5.2,"""Kavalery Morskoy Zvezdy"" (2004)",2004.0
9,3.1,"""Kazaki-razboyniki"" (2008)",2008.0
27,6.5,"""Kazaroza"" (2005)",2005.0
53,6.9,"""Kazus Kukotskogo"" (2005)",2005.0
22,8.8,"""Keiser Report"" (2009)",2009.0
20,5.2,"""KhB"" (2013)",2013.0
23,7.0,"""Khiromant"" (2005)",2005.0
6,8.0,"""Khokkeynye igry"" (2012)",2012.0
16,4.7,"""Kholostyaki"" (2004)",2004.0
23,6.2,"""Kletka"" (2003)",2003.0
17,5.2,"""Klim"" (2015)",2015.0
82,3.8,"""Klub"" (2006)",2006.0
46,5.2,"""Klubnichka"" (1997)",1997.0
13,4.8,"""Kobra antiterror"" (2003)",2003.0
9,6.6,"""Kobra antiterror"" (2003) {Gnev: Part 1 (#1.6)}",2003.0
6,5.5,"""Kobra"" (2001)",2001.0
5,4.8,"""Kodeks chesti"" (2004)",2004.0
25,7.7,"""Kolybelnye mira"" (2008)",2008.0
13,6.2,"""Komanda"" (2004)",2004.0
44,8.1,"""Kon Belyy"" (1993)",1993.0
8,3.9,"""Konferentsiya manyakov"" (2003)",2003.0
13,6.2,"""Kontora"" (2006)",2006.0
53,6.1,"""Konvoy PQ-17"" (2004)",2004.0
16,6.9,"""Korabl"" (2014)",2014.0
154,7.4,"""Koroleva Margo"" (1996)",1996.0
9,6.2,"""Koroli igry"" (2007)",2007.0
12,5.6,"""Kosti"" (2016)",2016.0
8,7.4,"""Kotovskiy"" (2010)",2010.0
5,5.8,"""Kozlyonok v moloke"" (2003)",2003.0
10,6.7,"""Krasavchik"" (2011)",2011.0
8,7.5,"""Krasnaya Koroleva"" (2015)",2015.0
67,7.4,"""Krasnaya kapella"" (2004)",2004.0
20,6.7,"""Krasnaya ploschad"" (2004)",2004.0
8,6.9,"""Krasnye gory"" (2013)",2013.0
100,7.0,"""Kratkiy kurs schastlivoy zhizni"" (2012)",2012.0
5,3.8,"""Krem"" (2009)",2009.0
36,7.4,"""Kremen"" (2012)",2012.0
5,4.6,"""Kreml-9"" (2001)",2001.0
86,5.8,"""Kremlyovskie kursanty"" (2009)",2009.0
36,7.7,"""Krik sovy"" (2013)",2013.0
14,9.0,"""Kriminalnaya Rossiya"" (1995)",1995.0
58,7.5,"""Krot"" (2001)",2001.0
24,5.8,"""Kto khochet stat millionerom?"" (2001)",2001.0
49,3.7,"""Kto v dome khozyain?"" (2006)",2006.0
2337,8.9,"""Kukhnya"" (2012)",2012.0
20,3.7,"""Kulagin i partnyory"" (2004)",2004.0
23,6.5,"""Kuprin. Poedinok"" (2014)",2014.0
23,5.8,"""Kuprin. Vpotmakh"" (2014)",2014.0
26,6.2,"""Kuprin. Yama"" (2014)",2014.0
129,7.5,"""Kursanty"" (2004)",2004.0
5,3.2,"""Kvartirka"" (2004)",2004.0
5,7.8,"""La case du sicle"" (2010) {Birobidjan, Birobidjan!}",2010.0
36,7.6,"""Ladoga"" (2014)",2014.0
15,4.9,"""Landysh serebristyy 2"" (2005)",2005.0
15,5.9,"""Larva"" (2016)",2016.0
7,6.7,"""Lastochkino gnezdo"" (2012)",2012.0
40,6.6,"""Lednikovyy period"" (2002)",2002.0
12,1.8,"""Legendy mirovogo kino"" (2004)",2004.0
10,6.5,"""Legendy o Kruge"" (2012)",2012.0
48,6.9,"""Lektor"" (2011)",2011.0
65,7.9,"""Leningrad 46"" (2014)",2014.0
16,7.3,"""Leningrad"" (2007)",2007.0
7,6.9,"""Lesnik"" (2011)",2011.0
17,7.2,"""Leto volkov"" (2011)",2011.0
9,5.4,"""Life of the Mermaids"" (2015)",2015.0
1249,8.5,"""Likvidatsiya"" (2007)",2007.0
6,3.8,"""Linii sudby"" (2003)",2003.0
10,8.3,"""Liniya Marty"" (2014)",2014.0
7,3.6,"""Liniya zashchity"" (2002)",2002.0
212,5.9,"""Londongrad"" (2015)",2015.0
14,6.1,"""Lovushka"" (2009)",2009.0
116,4.8,"""Luntik i ego druziya"" (2006)",2006.0
14,2.6,"""Lyuba, deti i zavod"" (2005)",2005.0
5,6.8,"""Lyubopytnaya Varvara"" (2012)",2012.0
10,6.1,"""Lyubov - ne to, chto kazhetsya..."" (2009)",2009.0
6,6.2,"""Lyubov imperatora"" (2002)",2002.0
13,5.4,"""Lyubov kak lyubov"" (2006)",2006.0
9,5.7,"""Lyubov na ostrie nozha"" (2008)",2008.0
49,3.2,"""Lyubov na rayone"" (2008)",2008.0
11,6.4,"""Lyubov za lyubov"" (2013)",2013.0
5,4.8,"""Lyudi i teni. Film pervyy: 'Sekrety kukolnogo teatra'"" (2001)",2001.0
10,6.4,"""Lyutyy"" (2013)",2013.0
10,6.1,"""MUR est MUR"" (2004)",2004.0
8,2.9,"""Machekha"" (2007)",2007.0
5,5.6,"""Mamochki"" (2012)",2012.0
15,4.6,"""Margosha 2"" (2009)",2009.0
10,5.4,"""Margosha 3"" (2010)",2010.0
47,4.5,"""Margosha"" (2009)",2009.0
13,3.8,"""Maroseika 12 - Gen smerti."" (2000)",2000.0
12,4.3,"""Maroseyka, 12"" (2000)",2000.0
20,4.1,"""Marsh Turetskogo"" (2001)",2001.0
1336,8.1,"""Masha i Medved"" (2009)",2009.0
6,6.3,"""Mashiny skazki"" (2011)",2011.0
12,6.4,"""Mashkiny strashilki"" (2014)",2014.0
29,7.5,"""Maski Show"" (1991)",1991.0
2665,7.6,"""Master i Margarita"" (2005)",2005.0
50,6.8,"""Mata Hari"" (2016)",2016.0
226,7.7,"""Mazhor"" (2014)",2014.0
5,9.2,"""Mech 2"" (2015)",2015.0
37,7.6,"""Mech"" (2009)",2009.0
10,3.3,"""Mediki"" (2002)",2002.0
17,4.6,"""Medovyy mesyats"" (2004)",2004.0
14,4.8,"""Melochi zhizni"" (1992)",1992.0
33,6.8,"""Mentovskie voyny - 2"" (2006)",2006.0
38,7.4,"""Mentovskie voyny - 3"" (2007)",2007.0
31,6.8,"""Mentovskie voyny - 4"" (2008)",2008.0
99,8.3,"""Mentovskie voyny"" (2005)",2005.0
32,6.0,"""Mentovskie voyny. Nedetskie igry"" (2005)",2005.0
7,1.0,"""Mertvets iz pod snega"" (2016)",2016.0
25,7.2,"""Messing"" (2009)",2009.0
115,6.1,"""Metod Freyda"" (2012)",2012.0
15,4.1,"""Metod Lavrovoy"" (2011)",2011.0
366,7.4,"""Metod"" (2015)",2015.0
20,3.6,"""Modnyy prigovor"" (2007)",2007.0
25,6.5,"""Moimi glazami"" (2013)",2013.0
7,6.1,"""Molodaya gvardiya"" (2015)",2015.0
193,5.2,"""Molodezhka"" (2013)",2013.0
78,5.9,"""Molodoy Volkodav"" (2007)",2007.0
10,4.5,"""Molodozhyony"" (2011)",2011.0
7,4.9,"""Morpekhi"" (2011)",2011.0
18,5.1,"""Morskie dyavoly"" (2005)",2005.0
71,7.2,"""Mosgaz"" (2012)",2012.0
101,6.2,"""Moskovskaya saga"" (2004)",2004.0
9,5.3,"""Moskovskye okna"" (2001)",2001.0
7,3.6,"""Moskva. Tsentralnyy okrug 2"" (2004)",2004.0
10,5.4,"""Moskva. Tsentralnyy okrug"" (2003)",2003.0
5,6.0,"""Moya Prechistenka"" (2006)",2006.0
42,5.5,"""Moya bolshaya armyanskaya svadba"" (2004)",2004.0
6,4.0,"""Moya granitsa"" (2002)",2002.0
7,4.7,"""Moya lyubimaya vedma"" (2008)",2008.0
484,4.7,"""Moya prekrasnaya nyanya"" (2004)",2004.0
43,6.9,"""Mr. Freeman"" (2009)",2009.0
19,3.6,"""Mult lichnosti"" (2009)",2009.0
10,7.0,"""Na nozhakh"" (1998)",1998.0
7,5.7,"""Na puti k serdtsu"" (2007)",2007.0
6,4.5,"""Na solnechnoy storone ulitsy"" (2011)",2011.0
11,2.6,"""Na uglu, u Patriarshikh 2"" (2001)",2001.0
10,2.9,"""Na uglu, u Patriarshikh 3"" (2003)",2003.0
17,5.1,"""Na uglu, u Patriarshikh..."" (1995)",1995.0
151,8.7,"""Namedni 1961-2003: Nasha Era"" (1997)",1997.0
20,9.5,"""NanoCelentano"" (2016)",2016.0
