name,genre,year
"""ChS [Chrezvychaynaya situatsiya]"" (2012)",Drama,2012.0
"""Chapay"" (2013)",Drama,2013.0
"""Chapay"" (2013)",History,2013.0
"""Chapay"" (2013)",War,2013.0
"""Chas Volkova"" (2007)",Crime,2007.0
"""Chastniy detektive"" (2005)",Crime,2005.0
"""Chasy lubvi"" (2011)",Drama,2011.0
"""Chasy lubvi"" (2011)",Fantasy,2011.0
"""Chasy lubvi"" (2011)",Romance,2011.0
"""Chay, kofe, potantsuem..."" (2006)",Comedy,2006.0
"""Chekhov i ko"" (1998)",Drama,1998.0
"""Chelovecheskiy faktor"" (2014)",Romance,2014.0
"""Chelovek niotkuda"" (2012)",Action,2012.0
"""Chelovek voyny"" (2005)",War,2005.0
"""Chelovek-amfibiya"" (2004)",Adventure,2004.0
"""Chelovek-primanka"" (2014)",Action,2014.0
"""Chempion"" (2008)",Drama,2008.0
"""Cherchill"" (2010)",Crime,2010.0
"""Cherepashki Megablog"" (2016)",Game-Show,2016.0
"""Cherkizona. Odnorazovye lyudi"" (2010)",Drama,2010.0
"""Cherniy kvadrat"" (2010)",Animation,2010.0
"""Chernobyl: Zona otchuzhdeniya"" (2014)",Drama,2014.0
"""Chernobyl: Zona otchuzhdeniya"" (2014)",Horror,2014.0
"""Chernobyl: Zona otchuzhdeniya"" (2014)",Sci-Fi,2014.0
"""Chest imeyu!.."" (2004)",War,2004.0
"""Chetyre Lyubovi"" (2004)",Drama,2004.0
"""China, China!"" (2012)",Documentary,2012.0
"""Chistaya proba"" (2012)",Drama,2012.0
"""Chisto po zhizn"" (2002)",Comedy,2002.0
"""Chistye klyuchi"" (2003)",Mystery,2003.0
"""Chkalov"" (2012)",Drama,2012.0
"""Choknutaya"" (2011)",Drama,2011.0
"""Chto skazal pokoynik"" (2000)",Adventure,2000.0
"""Chto skazal pokoynik"" (2000)",Comedy,2000.0
"""Chto skazal pokoynik"" (2000)",Crime,2000.0
"""Chuchelo 2"" (2009)",Drama,2009.0
"""Chudo tehniki"" (2012)",Documentary,2012.0
"""Chuzhaya milaya"" (2015)",Romance,2015.0
"""Chuzhaya voyna"" (2014)",Action,2014.0
"""Chuzhaya voyna"" (2014)",Drama,2014.0
"""Chuzhaya voyna"" (2014)",War,2014.0
"""Chuzhaya zhizn"" (2014)",Romance,2014.0
"""Chuzhie krylya"" (2011)",Adventure,2011.0
"""Chuzhie tayny"" (2007)",Drama,2007.0
"""Chuzhoe dezhurstvo"" (2004)",Crime,2004.0
"""Chuzhoe dezhurstvo"" (2004)",Drama,2004.0
"""Chuzhoe litso"" (2012)",Drama,2012.0
"""Chuzhoy rayon"" (2012)",Crime,2012.0
"""Chyornaya komnata"" (2000)",Thriller,2000.0
"""Chyornoe i Beloe"" (2007)",Talk-Show,2007.0
"""Chyornye koshki"" (2013)",Drama,2013.0
"""Chyornyy sneg"" (2007)",Crime,2007.0
"""Chyornyy voron"" (2001)",Crime,2001.0
"""Collection of Olympic Games Essays: Sobranie Olimpiyskikh Sochineniy"" (2008)",Documentary,2008.0
"""Comedy Club"" (2005)",Comedy,2005.0
"""Comedy Club"" (2005)",Reality-TV,2005.0
"""Comedy Woman"" (2008)",Comedy,2008.0
"""Cruise"" (2011)",Drama,2011.0
"""Dama v ochkah, c ruzhyom, v avtomobile"" (2001)",Crime,2001.0
"""Dama v ochkah, c ruzhyom, v avtomobile"" (2001)",Mystery,2001.0
"""Dama v ochkah, c ruzhyom, v avtomobile"" (2001)",Thriller,2001.0
"""Dar"" (2011)",Drama,2011.0
"""Dasha Vasileva. Lyubitelnitsa chastnogo syska 1"" (2003)",Crime,2003.0
"""Dasha"" (2013)",Drama,2013.0
"""Davay pozhenimsya!"" (2008)",Reality-TV,2008.0
"""Davay pozhenimsya!"" (2008)",Talk-Show,2008.0
"""Davno ne videlis"" (2011)",Music,2011.0
"""Davno ne videlis"" (2011)",Talk-Show,2011.0
"""Dead Hand"" (2013)",Sci-Fi,2013.0
"""Ded 005"" (2015)",Comedy,2015.0
"""Dedushka"" (2016)",Romance,2016.0
"""Deffchonki"" (2012)",Comedy,2012.0
"""Degan Az"" (2015)",Romance,2015.0
"""Dela smeshnye, dela semeynye"" (1996)",Comedy,1996.0
"""Delo Astakhova"" (2009)",Crime,2009.0
"""Delo Batagami"" (2014)",Action,2014.0
"""Delo Batagami"" (2014)",Drama,2014.0
"""Delo Batagami"" (2014)",Thriller,2014.0
"""Delo bilo v Gavrilovke"" (2007)",Comedy,2007.0
"""Delo bilo v Gavrilovke-2"" (2008)",Crime,2008.0
"""Delo chesti"" (2013)",Action,2013.0
"""Delo gastronoma No. 1"" (2011)",Drama,2011.0
"""Delo gastronoma No. 1"" (2011)",History,2011.0
"""Delo o 'Myortvykh dushakh'"" (2005)",Adventure,2005.0
"""Delo o 'Myortvykh dushakh'"" (2005)",Comedy,2005.0
"""Delo o 'Myortvykh dushakh'"" (2005)",Drama,2005.0
"""Delo o Maikle Karmane"" (2016)",Horror,2016.0
"""Delo o Maikle Karmane"" (2016)",Mystery,2016.0
"""Delo sledovatelya Nikitina"" (2012)",Drama,2012.0
"""Delovaya Moskva"" (2006)",News,2006.0
"""Delta"" (2013/II)",Action,2013.0
"""Demony"" (2011)",Crime,2011.0
"""Den gneva"" (2007)",Thriller,2007.0
"""Den rozhdeniya Burzhuya 2"" (2001)",Thriller,2001.0
"""Den rozhdeniya Burzhuya"" (2000)",Crime,2000.0
"""Den rozhdeniya Burzhuya"" (2000)",Mystery,2000.0
"""Dendy Memories"" (2012)",Documentary,2012.0
"""Dendy Memories"" (2012)",Reality-TV,2012.0
"""Departament"" (2013)",Crime,2013.0
"""Derevenskaya istoriya"" (2012)",Romance,2012.0
"""Derevenskaya komediya"" (2009)",Romance,2009.0
"""Derzhi menya krepche"" (2007)",Drama,2007.0
"""Desantura"" (2009)",War,2009.0
"""Detectivy"" (2006)",Crime,2006.0
"""Detektivy"" (2006)",Crime,2006.0
"""Deti Arbata"" (2004)",Drama,2004.0
"""Deti Arbata"" (2004)",Romance,2004.0
"""Deti Arbata"" (2004)",War,2004.0
"""Deti Vanyukhina"" (2005)",Drama,2005.0
"""Deti beloy bogini"" (2009)",Crime,2009.0
"""Detka"" (2012)",Comedy,2012.0
"""Detstvo Nikity"" (1992)",Drama,1992.0
"""Devichnik"" (2010)",Drama,2010.0
"""Devichya okhota"" (2011)",Drama,2011.0
"""Devochki poymut"" (2014)",Comedy,2014.0
"""Devochki"" (2009)",Drama,2009.0
"""Devochki"" (2009)",Romance,2009.0
"""Devyat apelsinov (Syshiki rayonnogo masshtaba)"" (2008)",Crime,2008.0
"""Devyat neizvestnykh"" (2006)",Mystery,2006.0
"""Devyat zhizney Nestora Makhno"" (2007)",Biography,2007.0
"""Devyat zhizney Nestora Makhno"" (2007)",History,2007.0
"""Devyat zhizney Nestora Makhno"" (2007)",War,2007.0
"""Dezhurnyy Angel"" (2010)",Drama,2010.0
"""Dikiy 2"" (2011)",Action,2011.0
"""Dikiy"" (2009)",Action,2009.0
"""Dikiy"" (2009)",Comedy,2009.0
"""Dikiy"" (2009)",Crime,2009.0
"""Dikiy"" (2009)",Drama,2009.0
"""Dikiy"" (2009)",Romance,2009.0
"""Dikiy"" (2009)",Thriller,2009.0
"""Dilettante"" (2016)",Drama,2016.0
"""Diversant 2: Konets voyny"" (2007)",War,2007.0
"""Diversant"" (2004)",War,2004.0
"""Diversanty"" (2012)",Drama,2012.0
"""Diversanty"" (2012)",History,2012.0
"""Diversanty"" (2012)",War,2012.0
"""Dnevnik doktora Zaytsevoy"" (2012)",Comedy,2012.0
"""Dnevnik ubiytsy"" (2003)",Crime,2003.0
"""Dnevnik ubiytsy"" (2003)",History,2003.0
"""Dnevnik ubiytsy"" (2003)",Thriller,2003.0
"""Do suda"" (2010)",Crime,2010.0
"""Dobroe imya"" (2014)",Romance,2014.0
"""Dobrogo zdorovitsa!"" (2012)",Talk-Show,2012.0
"""Doch generala"" (2007)",Drama,2007.0
"""Doktor Tyrsa"" (2011)",Drama,2011.0
"""Doktor Zhivago"" (2006)",Drama,2006.0
"""Dom 2"" (2004)",Reality-TV,2004.0
"""Dom bez vykhoda"" (2010)",Drama,2010.0
"""Dom kuvyrkom"" (2008)",Comedy,2008.0
"""Dom na Ozyornoy"" (2009)",Comedy,2009.0
"""Dom obraztsovogo soderzhaniya"" (2012)",Drama,2012.0
"""Dom s liliyami"" (2013)",Drama,2013.0
"""Dom s syurprizom"" (2009)",Romance,2009.0
"""Dom u bolshoi reki"" (2011)",Drama,2011.0
"""Dom"" (1995)",Comedy,1995.0
"""Domik u reki"" (2014)",Crime,2014.0
"""Domik u reki"" (2014)",Romance,2014.0
"""Doroga domoy"" (2014)",Romance,2014.0
"""Doroga v pustotu"" (2012)",Romance,2012.0
"""Dorogaya Masha Berezina"" (2005)",Crime,2005.0
"""Dorogaya Masha Berezina"" (2005)",Romance,2005.0
"""Dorogoy moy chelovek"" (2011)",Drama,2011.0
"""Dostavit lyuboy tsenoy"" (2011)",War,2011.0
"""Dotyanutsya do mechty"" (2013)",Sport,2013.0
"""Double Solid Love"" (2016)",Drama,2016.0
"""DoubleHeaded"" (2016)",Comedy,2016.0
"""DoubleHeaded"" (2016)",Drama,2016.0
"""Doyarka iz Khatsapetovki III"" (2011)",Romance,2011.0
"""Dozhdatsya lyubvi"" (2014)",Drama,2014.0
"""Drakosha i kompaniya"" (2001)",Family,2001.0
"""Drongo"" (2002)",Action,2002.0
"""Drongo"" (2002)",Adventure,2002.0
"""Drongo"" (2002)",Crime,2002.0
"""Drongo"" (2002)",Thriller,2002.0
"""Drugaya realnost"" (2014)",Drama,2014.0
"""Drugaya zhizn"" (2003)",Romance,2003.0
"""Drugoy bereg"" (2015)",Romance,2015.0
"""Druzhba narodov"" (2014)",Comedy,2014.0
"""Dumay, kak zhenshchina"" (2013)",Comedy,2013.0
"""Duraki. Dorogi. Dengi"" (2010)",Comedy,2010.0
"""Durdom"" (2006)",Crime,2006.0
"""Durdom"" (2006)",Fantasy,2006.0
"""Durdom"" (2006)",Mystery,2006.0
"""Dva Antona"" (2009)",Comedy,2009.0
